#x_m,y_m, w_tr_right_m, w_tr_left_m
0.0, 0.0, 1.00E+00, 1.00E+00
1.2571033773926588, 0.0, 1.00E+00, 1.00E+00
2.5142067547853175, 0.0, 1.00E+00, 1.00E+00
3.7713101321779763, 0.0, 1.00E+00, 1.00E+00
5.028413509570635, 0.0, 1.00E+00, 1.00E+00
6.285516886963293, 0.0, 1.00E+00, 1.00E+00
7.54262026435595, 0.0, 1.00E+00, 1.00E+00
8.799723641748612, 0.0, 1.00E+00, 1.00E+00
10.056827019141267, 0.0, 1.00E+00, 1.00E+00
11.313930396533928, 0.0, 1.00E+00, 1.00E+00
12.571033773926585, 0.0, 1.00E+00, 1.00E+00
13.82813715131924, 0.0, 1.00E+00, 1.00E+00
15.085240528711902, 0.0, 1.00E+00, 1.00E+00
16.342343906104563, 0.0, 1.00E+00, 1.00E+00
17.59944728349722, 0.0, 1.00E+00, 1.00E+00
18.856550660889877, 0.0, 1.00E+00, 1.00E+00
20.113654038282537, 0.0, 1.00E+00, 1.00E+00
21.3707574156752, 0.0, 1.00E+00, 1.00E+00
22.627860793067853, 0.0, 1.00E+00, 1.00E+00
23.914863242322625, -0.04324487412642384, 1.00E+00, 1.00E+00
25.19605992150952, -0.17278441545054193, 1.00E+00, 1.00E+00
26.465671250849667, -0.3880342608329784, 1.00E+00, 1.00E+00
27.71796991299567, -0.6880234011585913, 1.00E+00, 1.00E+00
28.94730668941427, -1.0713985616355444, 1.00E+00, 1.00E+00
30.148135944458808, -1.5364303065252216, 1.00E+00, 1.00E+00
31.315040642171383, -2.081020840763847, 1.00E+00, 1.00E+00
32.44275678296134, -2.70271347328237, 1.00E+00, 1.00E+00
33.52619714992471, -3.398703699334601, 1.00E+00, 1.00E+00
34.56047425768302, -4.165851851840432, 1.00E+00, 1.00E+00
35.540922400217134, -5.0006972646728975, 1.00E+00, 1.00E+00
36.463118698237, -5.899473883997428, 1.00E+00, 1.00E+00
37.32290305114077, -6.85812725723921, 1.00E+00, 1.00E+00
38.11639690355832, -7.87233282304012, 1.00E+00, 1.00E+00
38.840020741821995, -8.937515419697865, 1.00E+00, 1.00E+00
39.49051024143651, -10.048869924083057, 1.00E+00, 1.00E+00
40.064930992705506, -11.201382927930537, 1.00E+00, 1.00E+00
40.560691738086305, -12.38985535372151, 1.00E+00, 1.00E+00
40.975556061558066, -13.60892590813429, 1.00E+00, 1.00E+00
41.30765247727178, -14.85309526726354, 1.00E+00, 1.00E+00
41.555482871971236, -16.11675088450627, 1.00E+00, 1.00E+00
41.71792926310068, -17.39419230920448, 1.00E+00, 1.00E+00
41.79425884211281, -18.679656901829983, 1.00E+00, 1.00E+00
41.78412728022611, -19.96734582970802, 1.00E+00, 1.00E+00
41.732027154603344, -21.223369109095042, 1.00E+00, 1.00E+00
41.67992702898057, -22.479392388482054, 1.00E+00, 1.00E+00
41.6278269033578, -23.735415667869077, 1.00E+00, 1.00E+00
41.575726777735035, -24.9914389472561, 1.00E+00, 1.00E+00
41.52362665211228, -26.24746222664311, 1.00E+00, 1.00E+00
41.471526526489505, -27.50348550603012, 1.00E+00, 1.00E+00
41.41942640086674, -28.759508785417143, 1.00E+00, 1.00E+00
41.36732627524397, -30.015532064804166, 1.00E+00, 1.00E+00
41.31522614962121, -31.271555344191167, 1.00E+00, 1.00E+00
41.26312602399844, -32.52757862357819, 1.00E+00, 1.00E+00
41.211025898375674, -33.78360190296521, 1.00E+00, 1.00E+00
41.1589257727529, -35.039625182352225, 1.00E+00, 1.00E+00
41.106825647130144, -36.29564846173923, 1.00E+00, 1.00E+00
41.05472552150738, -37.551671741126256, 1.00E+00, 1.00E+00
41.00262539588461, -38.80769502051328, 1.00E+00, 1.00E+00
40.950525270261835, -40.063718299900295, 1.00E+00, 1.00E+00
40.89842514463907, -41.31974157928731, 1.00E+00, 1.00E+00
40.84632501901631, -42.57576485867432, 1.00E+00, 1.00E+00
40.79422489339354, -43.83178813806134, 1.00E+00, 1.00E+00
40.742124767770775, -45.08781141744836, 1.00E+00, 1.00E+00
40.690024642148, -46.34383469683537, 1.00E+00, 1.00E+00
40.68486097384768, -47.753595074388514, 1.00E+00, 1.00E+00
40.786170658441804, -49.159720009590416, 1.00E+00, 1.00E+00
40.993375143912296, -50.55417950587921, 1.00E+00, 1.00E+00
41.305291141872544, -51.92901018483774, 1.00E+00, 1.00E+00
41.720137385005195, -53.276360762878895, 1.00E+00, 1.00E+00
42.235544799394646, -54.58853688778801, 1.00E+00, 1.00E+00
42.84857003366301, -55.85804507907285, 1.00E+00, 1.00E+00
43.555712267648246, -57.077635521189976, 1.00E+00, 1.00E+00
44.226918090573726, -58.14055209586692, 1.00E+00, 1.00E+00
44.8981239134992, -59.203468670543856, 1.00E+00, 1.00E+00
45.56932973642468, -60.266385245220796, 1.00E+00, 1.00E+00
46.24053555935016, -61.32930181989774, 1.00E+00, 1.00E+00
46.91174138227563, -62.39221839457468, 1.00E+00, 1.00E+00
47.58294720520111, -63.45513496925162, 1.00E+00, 1.00E+00
48.25415302812658, -64.51805154392856, 1.00E+00, 1.00E+00
48.92535885105206, -65.58096811860551, 1.00E+00, 1.00E+00
49.59656467397754, -66.64388469328244, 1.00E+00, 1.00E+00
50.26777049690301, -67.70680126795939, 1.00E+00, 1.00E+00
50.93897631982849, -68.76971784263633, 1.00E+00, 1.00E+00
51.610182142753956, -69.83263441731326, 1.00E+00, 1.00E+00
52.28138796567944, -70.8955509919902, 1.00E+00, 1.00E+00
52.95259378860491, -71.95846756666715, 1.00E+00, 1.00E+00
53.62379961153039, -73.02138414134409, 1.00E+00, 1.00E+00
54.295005434455874, -74.08430071602103, 1.00E+00, 1.00E+00
54.96621125738134, -75.14721729069798, 1.00E+00, 1.00E+00
55.63741708030682, -76.21013386537491, 1.00E+00, 1.00E+00
56.30862290323229, -77.27305044005186, 1.00E+00, 1.00E+00
56.97982872615777, -78.3359670147288, 1.00E+00, 1.00E+00
57.65103454908325, -79.39888358940574, 1.00E+00, 1.00E+00
58.32224037200872, -80.46180016408267, 1.00E+00, 1.00E+00
58.9934461949342, -81.52471673875964, 1.00E+00, 1.00E+00
59.66465201785967, -82.58763331343658, 1.00E+00, 1.00E+00
60.33585784078515, -83.65054988811353, 1.00E+00, 1.00E+00
