baseline,sim,map,course,n_agents,dynamics,target_speed,trials,avg_speed_mps,success,time_to_goal_s,flow_rate,deformability,n_completed,n_collided,safety_rate,collision,spread_at_entry_m,spread_at_narrow_m,finished,t_course_s,v_course_mps,steps,sim_time_s,wall_time_s
orca,f1tenth,standard_ON,zone,1,st,5.0,5,4.634,1.0,4.23,0.0742,nan,1.0,0.0,1.0,0.0,0.0,0.0,0.0,inf,4.635,424.0,4.24,0.152
orca,native,standard_ON,zone,1,rvo2_disc,5.0,5,4.9584,1.0,3.93,0.0798,nan,1.0,0.0,1.0,0.0,0.0,0.0,0.0,inf,4.959,79.6,3.98,0.01
