baseline,sim,map,course,n_agents,dynamics,target_speed,trials,avg_speed_mps,success,time_to_goal_s,flow_rate,deformability,n_completed,n_collided,safety_rate,collision,spread_at_entry_m,spread_at_narrow_m,finished,t_course_s,v_course_mps,steps,sim_time_s,wall_time_s
orca,f1tenth,standard_ON,zone,4,st,5.0,5,4.339,1.0,4.81,0.2609,1.8002,4.0,0.0,1.0,0.0,1.8,0.0,0.0,inf,4.3796,482.0,4.82,0.728
orca,native,standard_ON,zone,4,rvo2_disc,5.0,5,4.8518,1.0,4.11,0.3053,1.5906,4.0,0.0,1.0,0.0,1.7898,0.0,0.0,inf,4.8568,83.2,4.16,0.02
