baseline,sim,map,course,n_agents,dynamics,target_speed,trials,avg_speed_mps,success,time_to_goal_s,flow_rate,deformability,n_completed,n_collided,safety_rate,collision,spread_at_entry_m,spread_at_narrow_m,finished,t_course_s,v_course_mps,steps,sim_time_s,wall_time_s
orca,f1tenth,standard_ON,zone,4,st,5.0,3,3.435,0.3333,17.75,0.0236,1.444,1.3333,0.0,0.3333,0.6667,1.808,0.0,0.0,inf,3.2653,1172.3333,11.7233,2.27
orca,native,standard_ON,zone,4,rvo2_disc,5.0,3,3.3157,0.0,15.9833,0.0785,4.0827,4.0,3.0,1.0,1.0,1.7623,0.0,0.0,inf,3.2987,325.3333,16.2667,0.07
