baseline,sim,map,n_agents,dynamics,target_speed,trials,avg_speed_mps,success,time_to_goal_s,flow_rate,deformability,n_completed,n_collided,safety_rate,collision,spread_at_entry_m,spread_at_narrow_m,steps,sim_time_s,wall_time_s
orca,f1tenth,standard_ON,4,st,5.0,5,3.9864,1.0,5.264,0.2384,2.6012,4.0,0.0,1.0,0.0,1.8,0.0,527.4,5.274,0.89
orca,native,standard_ON,4,rvo2_disc,5.0,5,4.4586,1.0,4.53,0.277,1.47,4.0,0.0,1.0,0.0,1.7968,0.5368,91.6,4.58,0.02
