baseline,sim,map,n_agents,dynamics,target_speed,trials,avg_speed_mps,success,time_to_goal_s,flow_rate,deformability,n_completed,n_collided,safety_rate,collision,spread_at_entry_m,spread_at_narrow_m,steps,sim_time_s,wall_time_s
orca,f1tenth,standard_ON,4,st,5.0,1,4.004,1.0,5.21,0.2408,4.38,4.0,0.0,1.0,0.0,1.8,0.0,522.0,5.22,1.61
orca,native,standard_ON,4,rvo2_disc,5.0,1,4.461,0.0,4.55,0.2758,1.299,4.0,2.0,1.0,1.0,1.797,0.0,92.0,4.6,0.02
