baseline,sim,map,n_agents,dynamics,target_speed,trials,avg_speed_mps,success,time_to_goal_s,flow_rate,deformability,n_completed,n_collided,safety_rate,collision,spread_at_entry_m,spread_at_narrow_m,steps,sim_time_s,wall_time_s
orca,f1tenth,standard_ON,4,st,5.0,5,3.9976,1.0,5.206,0.241,2.7652,4.0,0.0,1.0,0.0,1.8,0.0,521.6,5.216,0.87
orca,native,standard_ON,4,rvo2_disc,5.0,5,4.4538,1.0,4.54,0.2764,1.8184,4.0,0.0,1.0,0.0,1.7968,0.0,91.8,4.59,0.02
