baseline,sim,map,n_agents,dynamics,target_speed,trials,avg_speed_mps,success,time_to_goal_s,flow_rate,deformability,n_completed,n_collided,safety_rate,collision,spread_at_entry_m,spread_at_narrow_m,steps,sim_time_s,wall_time_s
gcbf,f1tenth,standard_ON,4,st,nan,2,0.558,0.0,inf,0.0,nan,2.0,0.0,0.5,0.0,3.339,0.0,4000.0,40.0,36.05
gcbf,native,standard_ON,4,dubins,nan,2,0.655,0.0,inf,0.0,nan,3.0,0.0,0.75,0.0,3.31,0.0,1500.0,45.0,9.8
las,f1tenth,standard_ON,3,st,,6,0.739,0.2,14.25,0.0255,nan,2.4,0.6,0.8,0.3,0.0,0.0,nan,nan,570.25
leader_follower,f1tenth,standard_ON,4,st,5.0,10,3.2993,1.0,7.923,0.1583,nan,4.0,0.0,1.0,0.0,0.0,0.0,793.3,7.933,3.742
nmpc,f1tenth,standard_ON,4,st,5.0,10,4.2941,1.0,4.865,0.258,1.5466,4.0,0.0,1.0,0.0,1.8,0.0,487.5,4.875,6.964
orca,f1tenth,standard_ON,4,st,5.0,10,3.992,1.0,5.235,0.2397,2.6832,4.0,0.0,1.0,0.0,1.8,0.0,524.5,5.245,0.88
orca,native,standard_ON,4,rvo2_disc,5.0,10,4.4562,1.0,4.535,0.2767,1.6442,4.0,0.0,1.0,0.0,1.7968,0.2684,91.7,4.585,0.02
