baseline,sim,map,n_agents,dynamics,target_speed,trials,avg_speed_mps,success,time_to_goal_s,flow_rate,deformability,n_completed,n_collided,safety_rate,collision,spread_at_entry_m,spread_at_narrow_m,steps,sim_time_s,wall_time_s
deform,f1tenth,standard_ON,4,st,nan,1,0.109,0.0,inf,0.0,1.011,0.0,nan,nan,0.0,1.8,1.78,nan,nan,41.4
deform,f1tenth,standard_ON,4,st,nan,1,0.111,0.0,inf,0.0,1.011,0.0,nan,nan,0.0,1.8,1.78,nan,nan,42.7
deform,f1tenth,standard_ON,4,st,nan,1,0.055,0.0,inf,0.0,1.495,0.0,nan,nan,1.0,1.8,1.204,nan,nan,258.6
