#x_m,y_m, w_tr_right_m, w_tr_left_m
-8.0,0.0,4.6250,4.6250
-6.991767957759111,0.0,4.6250,4.6250
-5.983535915518223,0.0,4.6250,4.6250
-4.975303873277333,0.0,4.6250,4.6250
-3.967071831036445,0.0,4.6250,4.6250
-2.958839788795556,0.0,4.6250,4.6250
-1.9506077465546667,0.0,4.6250,4.6250
-0.9423757043137782,0.0,4.6250,4.6250
0.041988613510482,0.05073473741567164,4.6250,4.6250
0.6852795717093544,0.8270776643912452,4.6250,4.6250
1.3310379835819304,1.6013683210508476,4.6250,4.6250
1.9816352843613123,2.3715953632473856,4.6250,4.6250
2.6395516200509315,3.135576442220072,4.6250,4.6250
3.307437592172385,3.8908518252683213,4.6250,4.6250
3.9881731490583316,4.634558178711945,4.6250,4.6250
4.684923617532246,5.3632695147039575,4.6250,4.6250
5.401201855370537,6.072776299510435,4.6250,4.6250
6.1409643615984555,6.757732576669828,4.6250,4.6250
6.908525858872544,7.4113385604861195,4.6250,4.6250
7.708549358536285,8.024706152944313,4.6250,4.6250
8.545690415574182,8.586230991936606,4.6250,4.6250
9.423907942835156,9.080837867644366,4.6250,4.6250
10.344973292592801,9.489793198585968,4.6250,4.6250
11.306390510605585,9.791322819988157,4.6250,4.6250
12.298878772479501,9.964132773798223,4.6250,4.6250
13.30578946715916,9.99315607713376,4.6250,4.6250
14.306284873288154,9.875672785825108,4.6250,4.6250
15.281448196031832,9.622393558249959,4.6250,4.6250
16.219012880683458,9.253019134547415,4.6250,4.6250
17.114045332976566,8.789649636912024,4.6250,4.6250
17.96694269987957,8.25242959930811,4.6250,4.6250
18.781024306144396,7.657889393339568,4.6250,4.6250
19.56078925070955,7.018917509498511,4.6250,4.6250
20.310939821328628,6.34537021985014,4.6250,4.6250
21.035962301791866,5.644811652414535,4.6250,4.6250
21.739954459975106,4.923100491810651,4.6250,4.6250
22.42658567459689,4.1848382940321045,4.6250,4.6250
23.099174174669358,3.4337504650047532,4.6250,4.6250
23.760680206583032,2.6728773250025544,4.6250,4.6250
24.413851220016976,1.9048328624002155,4.6250,4.6250
25.061224436045855,1.131892525480859,4.6250,4.6250
25.705207211871237,0.35612366290097325,4.6250,4.6250
26.34813072479531,-0.42052374359026096,4.6250,4.6250
26.992305078381015,-1.196133453532882,4.6250,4.6250
27.640065957201163,-1.9687487714909417,4.6250,4.6250
28.293829010317115,-2.7362890778311635,4.6250,4.6250
28.956150549262176,-3.4964519797371363,4.6250,4.6250
29.62978412716686,-4.246601939747032,4.6250,4.6250
30.31772775801589,-4.983640257127456,4.6250,4.6250
31.02331834613076,-5.703787100008391,4.6250,4.6250
31.750251248239678,-6.402361028951794,4.6250,4.6250
32.50268445484906,-7.073354469254353,4.6250,4.6250
33.285121511102474,-7.709046165235543,4.6250,4.6250
34.10224865134642,-8.299385270692362,4.6250,4.6250
34.95854895548983,-8.831150540360822,4.6250,4.6250
35.85714687820923,-9.28754342583238,4.6250,4.6250
36.79810653911286,-9.648147826294295,4.6250,4.6250
37.7759584746463,-9.890779856029546,4.6250,4.6250
38.77776878663168,-9.996349936187661,4.6250,4.6250
39.78425094902524,-9.955095747084512,4.6250,4.6250
40.774700798197756,-9.770916920982563,4.6250,4.6250
41.73301780836337,-9.459633087263363,4.6250,4.6250
42.65057102005028,-9.042822798284341,4.6250,4.6250
43.52524461310735,-8.541953512042596,4.6250,4.6250
44.35915161868552,-7.975626047114095,4.6250,4.6250
45.156304977291974,-7.358525192386998,4.6250,4.6250
45.92137841523416,-6.702004017069589,4.6250,4.6250
46.659033998390164,-6.0147767975198345,4.6250,4.6250
47.373553117772694,-5.30349685177472,4.6250,4.6250
48.068846152884475,-4.573393635597969,4.6250,4.6250
48.74840576599123,-3.8286117742913843,4.6250,4.6250
49.41535440766987,-3.0725079661327013,4.6250,4.6250
50.07256656141172,-2.307920682787935,4.6250,4.6250
50.72267015567193,-1.5372766578866839,4.6250,4.6250
51.36813485490842,-0.7627410120751758,4.6250,4.6250
52.01132574234034,0.013684866339569356,4.6250,4.6250
52.65455621019734,0.7900779390874555,4.6250,4.6250
53.30014130251784,1.5645132031650377,4.6250,4.6250
