#x_m,y_m, w_tr_right_m, w_tr_left_m
-0.014367141322895806, 0.6810456965677703, 1.00E+00, 1.00E+00
-0.03033687222275603, 1.362055698886576, 1.00E+00, 1.00E+00
-0.04760441978179415, 2.043034029940191, 1.00E+00, 1.00E+00
-0.0659502247969158, 2.7239841654138672, 1.00E+00, 1.00E+00
-0.0852145158457688, 3.4049089356004516, 1.00E+00, 1.00E+00
-0.10528048432252035, 4.085810552922931, 1.00E+00, 1.00E+00
-0.12606301224162736, 4.766690676069845, 1.00E+00, 1.00E+00
-0.1475010667812171, 5.4475504746927585, 1.00E+00, 1.00E+00
-0.16955257943495783, 6.128390680874026, 1.00E+00, 1.00E+00
-0.1921910636321627, 6.80921162252941, 1.00E+00, 1.00E+00
-0.21540350209787676, 7.490013236998516, 1.00E+00, 1.00E+00
-0.23918921830602358, 8.170795063480204, 1.00E+00, 1.00E+00
-0.5864473419052957, 8.75683384304823, 1.00E+00, 1.00E+00
-1.1721569731881345, 9.10464684364739, 1.00E+00, 1.00E+00
-1.8178426043645233, 9.321717618409025, 1.00E+00, 1.00E+00
-2.475943057757047, 9.49759669279772, 1.00E+00, 1.00E+00
-3.1373207898018567, 9.660719809242108, 1.00E+00, 1.00E+00
-3.7997131221613247, 9.819672801018498, 1.00E+00, 1.00E+00
-4.462451126503265, 9.977178334775637, 1.00E+00, 1.00E+00
-5.125315450662993, 10.134151400361908, 1.00E+00, 1.00E+00
-5.78822876388789, 10.290917451254508, 1.00E+00, 1.00E+00
-6.451142077112786, 10.447683502147108, 1.00E+00, 1.00E+00
-7.114055390337694, 10.604449553039707, 1.00E+00, 1.00E+00
-7.77696870356258, 10.761215603932307, 1.00E+00, 1.00E+00
-8.439882016787488, 10.917981654824906, 1.00E+00, 1.00E+00
-9.102795330012384, 11.074747705717506, 1.00E+00, 1.00E+00
-9.765708643237282, 11.231513756610106, 1.00E+00, 1.00E+00
-10.428621956462178, 11.388279807502705, 1.00E+00, 1.00E+00
-11.091535269687075, 11.545045858395305, 1.00E+00, 1.00E+00
-11.754448582911984, 11.701811909287905, 1.00E+00, 1.00E+00
-12.41736189613688, 11.858577960180504, 1.00E+00, 1.00E+00
-13.080275209361776, 12.015344011073104, 1.00E+00, 1.00E+00
-13.743188522586673, 12.172110061965691, 1.00E+00, 1.00E+00
-14.406101835811569, 12.32887611285829, 1.00E+00, 1.00E+00
