baseline,n_agents,target_speed_mps,avg_speed_mps,success,time_to_goal_s,flow_rate,deformability,n_completed,n_collided,safety_rate,collision,spread_at_entry_m,spread_at_narrow_m
orca,1,2.0,1.9579999999999997,1.0,9.960000000000003,0.0304,nan,1.0,0.0,1.0,0.0,0.0,0.0
orca,1,5.0,4.638999999999999,1.0,4.200000000000001,0.07220000000000001,nan,1.0,0.0,1.0,0.0,0.0,0.0
orca,1,8.0,6.764999999999999,1.0,2.8800000000000003,0.1052,nan,1.0,0.0,1.0,0.0,0.0,0.0
orca,2,2.0,1.9579999999999997,1.0,9.960000000000003,0.060899999999999996,1.0,2.0,0.0,1.0,0.0,0.5999999999999999,0.5999999999999999
orca,2,5.0,4.638999999999999,1.0,4.200000000000001,0.14429999999999998,1.0,2.0,0.0,1.0,0.0,0.5999999999999999,0.5999999999999999
orca,2,8.0,6.748,1.0,2.8999999999999995,0.209,nan,2.0,0.0,1.0,0.0,0.5999999999999999,0.0
orca,4,2.0,1.954,0.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,1.7999999999999996,1.7999999999999996
orca,4,5.0,4.611000000000001,0.0,inf,0.0,1.0,0.0,0.0,0.0,0.0,1.7999999999999996,1.7999999999999996
orca,4,8.0,6.676999999999998,0.0,inf,0.0,1.0010000000000001,0.0,0.0,0.0,0.0,1.7999999999999996,1.799
