#x_m,y_m, w_tr_right_m, w_tr_left_m
-0.004164238148052846, 0.6811844938663172, 1.00E+00, 1.00E+00
-0.009921663973625528, 1.362357384996858, 1.00E+00, 1.00E+00
-0.016984403917035706, 2.0435179925394267, 1.00E+00, 1.00E+00
-0.025144005620290955, 2.7246663438281304, 1.00E+00, 1.00E+00
-0.03424833633173421, 3.4058027227755248, 1.00E+00, 1.00E+00
-0.04418620119579373, 4.086927450270582, 1.00E+00, 1.00E+00
-0.054876995915765295, 4.768040775989232, 1.00E+00, 1.00E+00
-0.06626372125867874, 5.449142822711486, 1.00E+00, 1.00E+00
-0.07830830660252559, 6.130233553471465, 1.00E+00, 1.00E+00
-0.09098857804212912, 6.811312745841554, 1.00E+00, 1.00E+00
-0.10429645738562386, 7.4923799641912865, 1.00E+00, 1.00E+00
-0.4424962382161994, 8.083692541268272, 1.00E+00, 1.00E+00
-1.0214333023654718, 8.442665425087501, 1.00E+00, 1.00E+00
-1.6564808373594702, 8.689128979921305, 1.00E+00, 1.00E+00
-2.3044822929495012, 8.899185565432129, 1.00E+00, 1.00E+00
-2.956162284315406, 9.097535872758863, 1.00E+00, 1.00E+00
-3.6090361032131457, 9.29192062566185, 1.00E+00, 1.00E+00
-4.262331909077443, 9.484882398050582, 1.00E+00, 1.00E+00
-4.915786996867155, 9.67730408031381, 1.00E+00, 1.00E+00
-5.569305732491194, 9.86950948541894, 1.00E+00, 1.00E+00
-6.222824468115232, 10.06171489052407, 1.00E+00, 1.00E+00
-6.876343203739271, 10.25392029562919, 1.00E+00, 1.00E+00
-7.529861939363309, 10.44612570073432, 1.00E+00, 1.00E+00
-8.18338067498736, 10.63833110583945, 1.00E+00, 1.00E+00
-8.836899410611398, 10.830536510944569, 1.00E+00, 1.00E+00
-9.490418146235447, 11.0227419160497, 1.00E+00, 1.00E+00
-10.143936881859487, 11.214947321154831, 1.00E+00, 1.00E+00
-10.797455617483525, 11.40715272625996, 1.00E+00, 1.00E+00
-11.450974353107563, 11.59935813136508, 1.00E+00, 1.00E+00
-12.104493088731601, 11.79156353647021, 1.00E+00, 1.00E+00
-12.758011824355652, 11.983768941575342, 1.00E+00, 1.00E+00
-13.41153055997969, 12.17597434668046, 1.00E+00, 1.00E+00
-14.065049295603728, 12.36817975178559, 1.00E+00, 1.00E+00
-14.718568031227779, 12.560385156890721, 1.00E+00, 1.00E+00
-15.372086766851817, 12.75259056199584, 1.00E+00, 1.00E+00
-16.025605502475855, 12.944795967100971, 1.00E+00, 1.00E+00
-16.679124238099895, 13.1370013722061, 1.00E+00, 1.00E+00
-17.33264297372393, 13.32920677731122, 1.00E+00, 1.00E+00
-17.986161709347982, 13.52141218241635, 1.00E+00, 1.00E+00
-18.639680444972022, 13.713617587521481, 1.00E+00, 1.00E+00
-19.293199180596062, 13.9058229926266, 1.00E+00, 1.00E+00
-19.94671791622011, 14.098028397731731, 1.00E+00, 1.00E+00
-20.60023665184415, 14.29023380283686, 1.00E+00, 1.00E+00
-21.25375538746819, 14.48243920794198, 1.00E+00, 1.00E+00
-21.907274123092225, 14.67464461304711, 1.00E+00, 1.00E+00
-22.560792858716276, 14.86685001815223, 1.00E+00, 1.00E+00
-23.214311594340316, 15.05905542325736, 1.00E+00, 1.00E+00
-23.867830329964352, 15.25126082836249, 1.00E+00, 1.00E+00
-24.501126069539193, 15.50219141996031, 1.00E+00, 1.00E+00
-25.116346736383345, 15.794651992775028, 1.00E+00, 1.00E+00
-25.71633536961656, 16.117209422629312, 1.00E+00, 1.00E+00
-26.303715073401122, 16.462194551504798, 1.00E+00, 1.00E+00
-26.880649401396568, 16.824377428990353, 1.00E+00, 1.00E+00
-27.448842228491912, 17.200125438699878, 1.00E+00, 1.00E+00
-28.009607152463982, 17.586871292725334, 1.00E+00, 1.00E+00
-28.563945353562374, 17.982773824121978, 1.00E+00, 1.00E+00
-29.112612788245613, 18.386498608698528, 1.00E+00, 1.00E+00
-29.65617285773226, 18.797073944566307, 1.00E+00, 1.00E+00
